Professor Name,Professor Profile
Nikhil Chandra  Admal,Assistant Professor
Andrew G. Alleyne,Ralph & Catherine Fisher Professor
Marianne  Alleyne,Assistant Professor
Blaine  Asay,
Gaurav  Bahl,George B. Grim Professor
Arijit  Banerjee,ASST PROF
Tamer Basar,Professor
Rashid  Bashir,Professor
Carolyn L. Beck,Associate Professor
Joseph  Bentsman,Professor
James L. Best,PROF
Rohit  Bhargava,Professor
Daniel J. Bodony,Associate Professor
Paul V. Braun,Professor
M. Quinn Brewster,"Hermia G. Soo Professor; Director, M.Eng.ME Program"
David Cahill,Professor
Lili  Cai,Assistant Professor
Leonardo Chamorro,Associate Professor
Ioannis  Chasiotis,Professor
Jiahuan  Cui,
Geir Dullerud,W. Grafton and Lillian B. Wilkins Professor; Willett Faculty Scholar
Alison C. Dunn,Associate Professor; Andersen Faculty Fellow
Craig Dutton,Professor
Gregory S. Elliott,Professor
Elif  Ertekin,Associate Professor; Andersen Faculty Scholar
Randy H. Ewoldt,Alexander Rankin Professor
Jie  Feng,Assistant Professor
Placid Ferreira,Tungchao Julia Lu Professor
Paul  Fischer,Professor
Mattia  Gazzola,Associate Professor; Charles Conrad Kritzer Faculty Scholar
Philippe Geubelle,Professor
Nick G. Glumac,Shao Lee Soo Professor; Cannon Faculty Scholar
Andres Goza,
Varda Hagh,Assistant Professor
Bumsoo Han,Professor
Kris K. Hauser,Associate Professor
Sascha  Hilgenfeldt,Professor; Willett Faculty Scholar
Naira Hovakimyan,W. Grafton and Lillian B. Wilkins Professor; University Scholar; Schaller Faculty Scholar
Elizabeth T. Hsiao-Wecksler,Grayce Wicall Gauthier Professor
Huan  Hu,
Shelby  Hutchens,Associate Professor
Tony Jacobi,"Department Head, Richard W. Kritzer Distinguished Professor"
Iwona M. Jasiuk,Professor; Richard W. Kritzer Faculty Scholar
Harley T. Johnson,"Founder Professor; Associate Dean for Research, The Grainger College of Engineering"
Gabriel  Juarez,Assistant Professor
Paul J. A. Kenis,Professor
Mariana E. Kersh,Associate Professor
Joohyung  Kim,Associate Professor
Bill King,Ralph A. Andersen Endowed Chair; Faculty at Carle Illinois College of Medicine
Seid  Koric,Research Associate Professor
Girish  Krishnan,ASST PROF
Waltraud M. Kriven,Professor
John  Lambros,Professor
Tonghun  Lee,Bei Tse Chao and May Chao Professor
Xiuling  Li,Professor
Callan Luetkemeyer,Assistant Professor
Arif  Masud,PROF
Moshe Matalon,Caterpillar Distinguished Professor
Kathryn  Matlack,Associate Professor; Richard W. Kritzer Faculty Scholar
Prashant Mehta,Professor
Glennys Mensing,
Nenad  Miljkovic,"Founder Professor; Director, ACRC"
Martin  Ostoja-Starzewski,Professor
Francesco  Panerai,ASST PROF
Marco  Panesi,ASSOC PROF
Arne J. Pearlstein,Professor
Alex Penkov,
John S. Popovics,Professor
Joao Ramos,Assistant Professor
M Taher A. Saif,Edward William and Jane Marr Gutgsell Professor
Srinivasa M. Salapaka,Professor
Huseyin  Sehitoglu,"Professor; John, Alice and Sarah Nyquist Chair"
Jeff Shamma,Professor
Chenhui  Shao,Associate Professor
Sanjiv  Sinha,Professor; Associate Head for Undergraduate Programs
Kyle Smith,Associate Professor
Petros  Sofronis,"James W. Bayne Professor; Director, International Institute for Carbon-Neutral Energy Research"
Nancy R. Sottos,Professor
Kelly  Stephani,Associate Professor; Kritzer Faculty Fellow
Jean-charles Stinville,
Dusan M. Stipanovic,Professor
Ann Sychterz,
Sameh Tawfick,Associate Professor; Ralph A. Andersen Faculty Scholar
Ananias Tomboulides,
Alex Vakakis,Donald Biggar Willett Professor
Arend  van der Zande,Associate Professor
Amy  Wagoner Johnson,Professor; Andersen Faculty Scholar
Sophie  Wang,Research Associate Professor
Xinlei  Wang,Professor
Matthew  West,Professor; William H. Severns Faculty Scholar
Siyi  Xu,"Assistant Professor, starting August 2024"
Justin Yim,Assistant Professor
X. Shelly Zhang,
Yuanhui  Zhang,Professor
