Professor Name,Professor Profile
Aaron Ames,Bren Professor of Mechanical and Civil Engineering and Control and Dynamical Systems
José E. Andrade,George W. Housner Professor of Civil and Mechanical Engineering
Domniki Asimaki,Professor of Mechanical and Civil Engineering
Jean-Philippe Avouac,"Earle C. Anthony Professor of Geology and Mechanical and Civil Engineering; Associate Director, Center for Autonomous Systems and Technologies"
Kaushik Bhattacharya,"Howell N. Tyson, Sr., Professor of Mechanics and Materials Science; Vice Provost"
Guillaume Blanquart,Professor of Mechanical Engineering
John F. Brady,Chevron Professor of Chemical Engineering and Mechanical Engineering
Joel W. Burdick,Richard L. and Dorothy M. Hayman Professor of Mechanical Engineering and Bioengineering; Jet Propulsion Laboratory Research Scientist
Tim Colonius,"Frank and Ora Lee Marble Professor of Mechanical Engineering and Medical Engineering; Cecil and Sally Drinkward Leadership Chair, Department of Mechanical and Civil Engineering; Executive Officer for Mechanical and Civil Engineering"
John O. Dabiri,Centennial Professor of Aeronautics and Mechanical Engineering
Chiara Daraio,"G. Bradford Jones Professor of Mechanical Engineering and Applied Physics; Investigator, Heritage Medical Research Institute"
Xiaojing (Ruby) Fu,Assistant Professor of Mechanical and Civil Engineering
Julia R. Greer,"Ruben F. and Donna Mettler Professor of Materials Science, Mechanics and Medical Engineering; Fletcher Jones Foundation Director of the Kavli Nanoscience Institute"
Melany L. Hunt,Dotty and Dick Hayman Professor of Mechanical Engineering
Monica Kohler,Research Professor of Mechanical and Civil Engineering
Nadia Lapusta,"Lawrence A. Hanson, Jr., Professor of Mechanical Engineering and Geophysics"
Michael Mello,Teaching Professor of Mechanical and Civil Engineering
Austin Minnich,Professor of Mechanical Engineering and Applied Physics; EAS Division Deputy Chair
Richard M. Murray,"Thomas E. and Doris Everhart Professor of Control and Dynamical Systems and Bioengineering; William K. Bowes Jr. Leadership Chair, Division of Biology and Biological Engineering"
Gunter Niemeyer,Teaching Professor of Mechanical and Civil Engineering
Sergio Pellegrino,"Joyce and Kent Kresa Professor of Aerospace and Civil Engineering; Jet Propulsion Laboratory Senior Research Scientist; Co-Director, Space-Based Solar Power Project"
Guruswami (Ravi) Ravichandran,"John E. Goode, Jr., Professor of Aerospace and Mechanical Engineering"
Ares J. Rosakis,Theodore von Karman Professor of Aeronautics and Mechanical Engineering
Joseph E. Shepherd,"C. L. ""Kelly"" Johnson Professor of Aeronautics and Mechanical Engineering"
Sandra M. Troian,"Professor of Applied Physics, Aeronautics, and Mechanical Engineering"
James L. (Jim) Beck,"George W. Housner Professor of Engineering and Applied Science, Emeritus"
Christopher E. Brennen,"Richard L. and Dorothy M. Hayman Professor of Mechanical Engineering, Emeritus"
Norman H. Brooks,"James Irvine Professor of Environmental and Civil Engineering, Emeritus"
John F. Hall,"Professor of Civil Engineering, Emeritus"
Thomas H. Heaton,"Professor of Engineering Seismology, Emeritus"
Paul C. Jennings,"Professor of Civil Engineering and Applied Mechanics, Emeritus"
Michael Ortiz,"Frank and Ora Lee Marble Professor of Aeronautics and Mechanical Engineering, Emeritus"
